ID,Metal,BDE,M-H,VMH,CoordNum,H,B,C,N,O,F,Si,P,S,Cl,Charge,LTrans,GrpNum
GAVKAR.Fe.xyz,Fe,48.63,1.531254,1835.5,6,1,0,1,0,0,0,0,1,0,0,0,6,8
GAVKEV.Fe.xyz,Fe,48.63,1.523171,1842.9,6,1,0,1,0,0,0,0,1,0,0,0,6,8
GAVKEV01.Fe.xyz,Fe,47.71,1.522269,1839.1,6,1,0,1,0,0,0,0,1,0,0,0,6,8
GAXDAK10.W.xyz,W,57.33,1.709558,1912.3,7,1,0,1,0,1,0,0,1,0,0,0,0,6
GAXGOB.Ir.xyz,Ir,70.31,1.57628,2174.6,6,1,0,0,0,0,0,0,1,0,1,0,17,9
GAXGOB01.Ir.xyz,Ir,71.23,1.578163,2149.6,6,1,0,0,0,0,0,0,1,0,1,0,17,9
GAXQII.Os.xyz,Os,60.37,1.613628,2172.9,7,1,0,1,0,0,0,0,1,0,0,1,0,8
GAZGUJ.Re.xyz,Re,68.95,1.677858,1926.5,9,1,0,1,0,0,0,0,1,0,0,0,0,7
GAZHEU.Re.xyz,Re,70.62,1.688846,1867.3,9,2,0,1,0,0,0,0,1,0,0,0,0,7
GAZHIY.Ir.xyz,Ir,72.23,1.551191,2319.8,7,2,0,1,1,1,0,0,1,0,0,0,0,9
GAZLAX.Co.xyz,Co,51.79,1.492988,1839,5,1,0,0,0,0,0,0,1,0,0,0,0,9
GAZPAB.Zr.xyz,Zr,58.57,1.842107,1580.8,12,1,0,1,0,1,0,0,0,0,0,0,0,4
GEBHAW.Pt.xyz,Pt,66.48,1.603613,2031.8,4,1,0,1,0,0,0,0,1,0,0,0,0,10
GEBKUV.Pt.xyz,Pt,66.17,1.681474,1748.6,4,1,1,0,0,0,0,0,1,0,0,0,5,10
GECNAD.Pt.xyz,Pt,75.84,1.567738,2174.8,4,1,0,0,1,0,0,0,1,0,0,0,7,10
GECXAO.Ru.xyz,Ru,66.44,1.588396,1992.7,8,1,0,1,0,0,0,0,1,0,0,0,0,8
GEDQEL.Ta.xyz,Ta,56.56,1.761424,1811.3,14,2,1,1,0,0,0,0,1,0,0,0,0,5
GEFGUW.Mn.xyz,Mn,36.82,1.615709,1663.5,6,1,0,0,1,0,0,0,1,0,0,0,7,7
GEFGUW.Tc.xyz,Tc,48.61,1.671762,1862.4,6,1,0,0,1,0,0,0,1,0,0,0,0,7
GEFHOR.Rh.xyz,Rh,62.2,1.569345,2051,5,2,0,0,0,0,0,1,1,0,0,0,15,9
GEFMOW.Os.xyz,Os,64.74,1.592383,2208.2,7,3,0,0,0,1,0,0,1,0,0,0,0,8
GEFZAS10.Ru.xyz,Ru,65.66,1.594652,1946.7,6,1,0,0,0,0,0,0,1,0,1,0,17,8
GEHTUL.Co.xyz,Co,43.73,1.462575,1981.5,8,1,0,1,0,0,0,0,0,0,0,0,0,9
GEJRAO.Mo.xyz,Mo,55.37,1.658845,1932.3,13,1,1,1,0,0,0,0,0,0,0,0,0,6
GEJRES.Ru.xyz,Ru,64.33,1.573183,2105.6,6,1,0,1,1,0,0,0,1,0,0,0,0,8
GEJRES10.Ru.xyz,Ru,64.11,1.574718,2113.7,6,1,0,1,1,0,0,0,1,0,0,0,0,8
GEKGAE.Ru.xyz,Ru,66.55,1.642136,1818.1,6,1,0,0,0,0,0,0,1,0,0,1,15,8
GEKNUG.Ir.xyz,Ir,74.34,1.541767,2363,6,2,0,0,0,1,0,0,1,0,1,0,17,9
GELREU.Pt.xyz,Pt,68.59,1.645922,1861.1,4,1,0,1,0,0,0,0,1,0,0,0,6,10
GELZEF.Ru.xyz,Ru,62.54,1.586243,1996.5,6,1,0,1,1,0,0,0,1,0,1,0,0,8
GENKIT.Hf.xyz,Hf,65.8,1.85001,1585.3,13,2,0,1,1,0,0,0,0,0,0,0,0,4
GEPKUH.Ru.xyz,Ru,58.77,1.575274,2018.1,8,1,0,1,1,0,0,0,0,0,1,0,0,8
GEPTAZ.Ru.xyz,Ru,64.8,1.657665,1732.7,9,1,0,1,0,0,0,0,1,1,0,1,0,8
GEQVUT.Ru.xyz,Ru,66.02,1.584452,2030,9,3,0,1,0,0,0,0,1,0,0,0,0,8
GERFAN.Ni.xyz,Ni,46.13,1.567679,2093.6,4,1,0,0,1,0,0,0,0,0,0,0,0,10
GERLUL.Ir.xyz,Ir,65.28,1.612422,2096.5,7,1,1,1,0,0,0,0,1,0,0,0,6,9
GERMAS.Os.xyz,Os,67.09,1.641169,2000.1,9,1,1,0,0,0,0,0,1,0,0,0,0,8
GERTED.Ru.xyz,Ru,63.02,1.573498,2048.1,5,1,0,1,0,0,0,0,1,0,1,0,0,8
GERXAD.Ir.xyz,Ir,65.26,1.612239,2156.4,6,1,0,1,0,0,0,0,1,0,1,0,6,9
GESBAI.Rh.xyz,Rh,63.65,1.546372,2094.3,6,1,0,1,1,0,0,0,1,1,0,1,7,9
GETJIY.Mo.xyz,Mo,56.36,1.670928,1878.1,6,2,0,0,0,0,0,0,1,0,0,1,0,6
GETKAT.Ru.xyz,Ru,65.57,1.592449,1980,8,1,0,1,0,0,0,0,0,0,0,0,0,8
GETSAZ.Nb.xyz,Nb,56.4,1.731603,1759.3,13,1,0,1,0,0,0,0,0,0,0,0,0,5
GETZUA.Ir.xyz,Ir,67.24,1.611417,2022.3,6,1,0,0,0,0,0,0,1,0,1,0,15,9
GEVNIE.Ir.xyz,Ir,77.11,1.585207,2126.3,6,2,0,0,0,0,0,0,1,0,1,0,17,9
GEVNIE05.Ir.xyz,Ir,77.11,1.585167,2126.5,6,2,0,0,0,0,0,0,1,0,1,0,17,9
GEVROO.Ru.xyz,Ru,64.63,1.635383,1818.6,6,1,0,1,0,0,0,0,1,0,0,0,15,8
GEWBAL.Ir.xyz,Ir,68.91,1.575967,2188.4,8,1,0,1,0,0,0,0,1,0,1,0,0,9
GEWHUL.Pd.xyz,Pd,59.53,1.532471,2054.5,4,1,0,0,0,0,0,0,1,0,1,1,17,10
GEXFIY.Rh.xyz,Rh,55.24,1.581598,1948.8,8,1,1,0,0,0,0,0,1,1,0,0,0,9
GEZYOC.Ir.xyz,Ir,73,1.58364,2169,6,1,0,1,1,0,0,0,1,0,1,0,7,9
GEZYUI.Ir.xyz,Ir,73.14,1.582965,2153.3,6,1,0,1,1,0,0,0,1,0,1,0,0,9
GIBNOW.Fe.xyz,Fe,54.46,1.520943,1787.6,6,1,0,0,0,0,0,0,1,0,1,0,17,8
GIFGIL.Ir.xyz,Ir,63.19,1.629043,1993.3,5,1,0,0,0,0,0,0,1,0,0,0,0,9
GIFHUZ.Os.xyz,Os,66,1.607596,2159,10,1,0,1,0,0,0,0,1,0,0,1,0,8
GIFJAH.Os.xyz,Os,62.61,1.604926,2164.2,10,1,0,1,0,0,0,0,1,0,0,1,0,8
GIGCAA.Ru.xyz,Ru,67.66,1.603149,1929.3,8,1,0,1,0,0,0,0,1,0,0,0,0,8
GIGMUH.Ru.xyz,Ru,62.13,1.597288,1967.2,6,1,0,1,1,0,0,0,0,0,1,0,17,8
GIGNAO.Ru.xyz,Ru,64.41,1.603298,1925.6,6,1,0,1,1,0,0,0,0,0,1,0,17,8
GIGNIW.Ru.xyz,Ru,63.41,1.599249,1934.6,6,1,0,1,1,0,0,0,0,0,1,0,17,8
GIGNUI.Ru.xyz,Ru,64.39,1.603595,1923.6,6,1,0,1,1,0,0,0,0,0,1,0,17,8
GIHMUF.Ru.xyz,Ru,53.86,1.59279,1970.4,6,1,0,1,1,0,0,0,1,0,1,0,0,8
GIJTAU.Nb.xyz,Nb,56.76,1.747305,1722,13,1,1,1,1,0,0,0,0,0,0,0,0,5
GIKPOF.Re.xyz,Re,62.97,1.69418,1945.4,5,1,0,0,0,0,0,0,1,0,0,0,0,7
GIKRIB10.W.xyz,W,57.94,1.739009,1842.2,8,2,0,1,0,0,0,0,1,0,0,0,0,6
GILJEQ.Ir.xyz,Ir,65.71,1.596879,2133,6,2,0,1,0,0,0,0,1,0,0,0,0,9
GIMYUX.Ir.xyz,Ir,73.46,1.550088,2333.6,6,2,0,0,0,1,0,0,1,0,0,1,8,9
GIMZEH.Fe.xyz,Fe,45.1,1.52894,1811.6,6,1,0,1,0,1,0,0,1,0,0,0,6,8
GINWEF.Ir.xyz,Ir,75.46,1.583374,2132.1,7,1,0,1,1,0,0,0,1,0,1,0,17,9
GINWIJ.Ir.xyz,Ir,69.6,1.558915,2246.1,6,1,0,0,1,1,0,0,1,0,1,1,17,9
GIQGUI.Ru.xyz,Ru,71.8,1.659226,1723.9,6,1,0,0,1,0,0,0,1,0,0,0,7,8
GIQVUX.Os.xyz,Os,68.75,1.680698,2105.8,5,1,0,1,0,0,0,0,1,0,0,0,6,8
GIQWAE.Os.xyz,Os,68.53,1.684781,2074.3,5,1,0,1,0,0,0,0,1,0,0,0,6,8
GIRJAV.Y.xyz,Y,74.52,1.98693,1416,4,1,0,0,0,1,0,0,0,0,0,-1,0,3
GIRXAI.Co.xyz,Co,28.49,1.486259,1845.3,6,1,0,0,1,0,0,0,1,0,0,0,0,9
GIRXEM.Co.xyz,Co,43.73,1.467554,1901.8,6,2,0,0,1,0,0,0,1,0,1,0,7,9
GIRXUA.Rh.xyz,Rh,60.1,1.539724,2144.4,6,2,0,0,1,0,0,0,1,0,0,1,7,9
GISKAU.Re.xyz,Re,61.24,1.678182,1938.5,7,1,0,0,0,1,0,0,1,0,1,0,0,7
GISMOK.W.xyz,W,60.51,1.72518,1831.8,9,1,0,1,0,0,0,0,0,0,0,1,0,6
GISPIJ.Ru.xyz,Ru,66.54,1.629348,1846.8,6,2,0,0,1,0,0,0,1,0,0,0,7,8
GITNIG.Ru.xyz,Ru,65.99,1.649436,1739.2,5,1,0,0,0,0,0,0,1,1,0,0,0,8
GITQIJ.Ir.xyz,Ir,66.63,1.588069,2138.2,8,1,0,1,0,0,0,0,1,0,0,0,0,9
GITTOU.Ir.xyz,Ir,74.66,1.58612,2145,6,1,0,0,1,1,0,0,1,0,0,1,7,9
GITVOX.Ir.xyz,Ir,69.66,1.587913,2133.8,6,1,1,1,0,0,0,0,1,1,0,0,16,9
GIVLUV.Ru.xyz,Ru,62.73,1.596907,2008.6,6,1,0,1,1,0,0,0,1,0,0,0,7,8
GIVMAC.Ru.xyz,Ru,62.13,1.5999,1982.1,6,1,0,1,1,0,0,0,1,0,0,0,7,8
GIWLON.Ir.xyz,Ir,48.4,1.575752,2187.2,6,1,0,0,0,1,0,0,1,0,1,1,17,9
GIWXEP.Ir.xyz,Ir,62.57,1.578126,2177.3,10,1,0,1,0,0,0,0,0,0,0,1,0,9
GIXMEG.Os.xyz,Os,71.99,1.632525,2099.2,8,5,0,1,0,0,0,0,1,0,0,1,0,8
GIXMIK.Os.xyz,Os,69.64,1.635395,2058.6,7,4,0,1,0,0,0,0,1,0,0,0,0,8
GIXMUW.Pt.xyz,Pt,58.5,1.555777,2205,6,1,1,0,0,0,0,0,1,1,0,1,16,10
GIXQAF.Rh.xyz,Rh,56.99,1.544648,2084.7,6,1,0,0,0,0,0,0,1,1,0,0,16,9
GIXQEJ.Rh.xyz,Rh,58.6,1.549562,2044.3,6,1,0,0,0,0,0,0,1,1,0,0,16,9
GIXYAN.Co.xyz,Co,47.55,1.490472,1839,7,1,0,1,0,1,0,0,1,0,0,0,8,9
GIXYER.Co.xyz,Co,45.64,1.490526,1835.9,7,1,0,1,0,1,0,0,1,0,0,0,8,9
GIXYIV.Co.xyz,Co,48.36,1.490789,1834.5,8,1,0,1,0,1,0,0,1,0,0,0,8,9
GIZMOS.Ru.xyz,Ru,54.96,1.57147,2073.4,9,1,0,1,0,0,0,0,1,1,0,0,0,8
GIZMUY.Ru.xyz,Ru,58.56,1.597685,1936.4,9,1,0,1,0,0,0,0,1,1,0,0,0,8
GIZPIQ.Os.xyz,Os,64.99,1.63159,2005.2,9,1,0,1,1,0,0,0,0,0,0,1,0,8
GOBCOS.Os.xyz,Os,59.81,1.595847,2183.9,7,3,0,0,0,1,0,0,1,1,0,0,0,8
GOBCUY.Os.xyz,Os,70.25,1.590212,2210.2,7,2,1,0,0,1,0,0,1,1,0,0,0,8
GOBFIN.Fe.xyz,Fe,54.53,1.512336,1926.6,9,2,0,1,0,0,0,1,1,0,0,0,0,8
GOBFOT.Fe.xyz,Fe,51.06,1.501096,1989,9,2,0,1,0,0,0,1,1,0,0,0,0,8
GOBJAI.Mo.xyz,Mo,57.8,1.75064,1623.5,7,1,0,1,1,0,0,0,1,0,0,0,0,6
GOBPIY.Ir.xyz,Ir,74.77,1.582725,2160.6,6,1,0,0,1,1,0,0,1,0,0,1,7,9
GOBTEW.Zr.xyz,Zr,50.97,1.841149,1533.5,13,1,0,1,0,0,0,0,0,0,0,0,0,4
GOCFOW.Ir.xyz,Ir,66.38,1.621235,2133.9,5,1,0,1,0,0,0,0,1,0,0,0,6,9
GOCMAM.Ni.xyz,Ni,38.89,1.44515,1995.2,5,1,0,0,0,0,0,0,1,0,0,1,15,10
GOCTAT.Os.xyz,Os,64.58,1.751804,1605.9,4,1,0,1,0,0,0,0,1,0,0,0,0,8
GOCTEX.Os.xyz,Os,67.33,1.578973,2025.6,5,2,0,1,0,0,0,0,1,0,0,1,0,8
GODJAK.Ru.xyz,Ru,55.34,1.577846,2086.6,9,1,1,0,0,0,0,0,1,0,1,0,0,8
GOFCEJ.Ru.xyz,Ru,56.31,1.55023,2105.5,8,1,0,1,1,0,0,0,0,0,0,0,0,8
GOFROI.Ru.xyz,Ru,63.07,1.592561,2046.6,8,3,0,1,0,0,0,1,1,0,0,0,1,8
GOGGUG.Ir.xyz,Ir,65.18,1.600969,2109.2,7,1,0,1,0,0,0,0,1,0,0,1,15,9
GOGNIC.Ir.xyz,Ir,69.21,1.654797,1902.7,5,1,0,1,1,0,0,0,1,0,0,1,6,9
GOGNOI.Ir.xyz,Ir,46.87,1.585194,2171.7,6,2,0,0,1,0,0,0,1,0,0,0,7,9
GOHDAI.Re.xyz,Re,60.39,1.659632,1998.2,8,2,0,1,1,1,0,0,1,0,0,0,0,7
GOHDEM.Re.xyz,Re,59.14,1.649829,2036,8,2,0,1,1,1,0,0,1,0,0,0,0,7
GOHDIQ.Re.xyz,Re,58.9,1.653698,2013.1,8,2,0,1,1,1,0,0,1,0,0,0,0,7
GOKYIQ.Hf.xyz,Hf,66.44,1.85339,1596,12,1,0,1,0,1,0,0,0,0,0,0,0,4
GOMVAF.Ir.xyz,Ir,77.68,1.646401,1908.3,6,1,0,1,0,0,0,0,0,0,0,0,0,9
GOMVAH.Ir.xyz,Ir,82.92,1.606131,2124.2,9,2,0,1,0,0,0,0,0,0,0,0,0,9
GOMVEL.Ir.xyz,Ir,70.33,1.62284,2005.6,9,3,0,1,0,0,0,0,0,0,0,0,0,9
GOMWAI.Ir.xyz,Ir,66.74,1.585473,2149.5,8,2,0,1,0,0,0,0,0,0,0,0,0,9
GOMWOW.Ir.xyz,Ir,76.59,1.614,2077.8,9,2,0,1,0,0,0,0,0,0,0,0,0,9
GONBOC.Ir.xyz,Ir,77.52,1.61445,2070,9,2,0,1,0,0,0,0,0,0,0,0,0,9
GOQFID.Ru.xyz,Ru,63.72,1.55082,2130.8,5,1,0,1,0,0,0,0,1,0,1,0,0,8
GOQFUP.Ru.xyz,Ru,63,1.546694,2159.9,5,1,0,1,0,0,0,0,1,0,1,0,0,8
GORPEI.Ta.xyz,Ta,52.83,1.754517,1759.9,13,3,0,1,0,0,0,0,0,0,0,0,0,5
GORPIM.Ta.xyz,Ta,69.78,1.787843,1706.5,12,1,0,1,0,0,0,0,0,0,0,0,0,5
GORPOS.Ta.xyz,Ta,56.58,1.757983,1748.4,13,1,0,1,0,0,0,0,0,0,0,0,0,5
GOTVAM.Ru.xyz,Ru,48.38,1.600351,1961,6,3,0,1,0,0,0,0,1,0,0,0,0,8
GOTVEQ.Ru.xyz,Ru,60.36,1.593481,1961.8,6,1,0,1,0,0,0,0,0,0,0,0,0,8
GOVJUY.Ru.xyz,Ru,66.3,1.608126,1920.4,6,1,0,1,1,0,0,0,1,0,0,0,0,8
GOXQOZ.Re.xyz,Re,67.14,1.72748,1766.1,5,1,0,0,1,0,0,0,1,0,0,0,0,7
GOXVUM.Ir.xyz,Ir,66,1.530346,2373.3,5,1,0,0,1,1,0,0,1,0,0,1,0,9
GOZRAR.Sc.xyz,Sc,72.71,1.875126,1360.3,8,1,0,1,1,1,0,0,0,0,0,0,0,3
GUBPEY.Fe.xyz,Fe,55.94,1.53659,1725.9,6,1,0,0,0,0,0,0,1,1,0,0,16,8
GUCKEW.Ru.xyz,Ru,58.7,1.535881,2204.3,5,1,0,1,0,0,0,0,1,0,0,0,0,8
GUDNOI.Rh.xyz,Rh,56.73,1.560113,2045.3,6,1,0,1,0,0,0,0,1,0,0,0,15,9
GUGXOV.Rh.xyz,Rh,64.64,1.562017,2002.9,6,1,0,0,0,0,0,0,1,0,1,1,17,9
GUHRAD.Mo.xyz,Mo,57.01,1.709541,1774.6,9,1,0,1,0,0,0,0,0,0,0,0,0,6
GUHREH.W.xyz,W,59.99,1.731059,1815.6,9,1,0,1,0,0,0,0,0,0,0,0,0,6
GUHZAN.Ni.xyz,Ni,58.94,1.503706,1951,4,1,0,0,0,0,0,1,1,0,0,0,0,10
GUHZER.Ni.xyz,Ni,58.83,1.507096,1983.4,4,1,0,0,0,0,0,1,1,0,0,0,0,10
GUKKEE.Ni.xyz,Ni,61.32,1.536822,1971.9,4,1,0,1,0,0,0,0,1,0,0,0,6,10
GUKPOT.Ru.xyz,Ru,65.73,1.591603,2078.5,7,2,0,0,0,1,0,1,1,0,1,0,0,8
GULZAO.Ru.xyz,Ru,54.48,1.633696,1932.5,6,1,0,1,0,0,1,0,1,0,0,0,6,8
GULZES.Ru.xyz,Ru,69.74,1.60259,1925.6,6,1,0,0,1,0,0,0,1,0,0,1,7,8
GULZOC.Ru.xyz,Ru,68.38,1.639413,1786.7,6,1,0,1,0,0,0,0,1,0,0,0,6,8
GUMPEK.Os.xyz,Os,60.7,1.606609,2164.5,6,1,0,1,0,0,0,0,1,0,1,1,0,8
GUQCUQ.Pt.xyz,Pt,71.14,1.613081,1999.9,4,1,0,0,0,0,0,1,1,0,0,0,0,10
GUQDAX.Pt.xyz,Pt,72.28,1.613292,1984.7,4,1,0,0,0,0,0,1,1,0,0,0,0,10
GUQFUW.Ru.xyz,Ru,63.18,1.5885,1989.2,6,1,0,1,1,1,0,0,1,0,0,0,0,8
GUQGAD.Ru.xyz,Ru,65,1.593153,1970.8,6,1,0,1,1,1,0,0,1,0,0,0,0,8
GUQQIS.Ta.xyz,Ta,64.83,1.767407,1746.7,12,1,0,1,0,0,0,0,0,0,0,0,0,5
GURJUB.Zn.xyz,Zn,72.01,1.543713,1824.6,3,1,0,0,1,0,0,0,0,0,0,0,0,12
GURKIQ.Zn.xyz,Zn,73.03,1.545697,1812.3,3,1,0,0,1,0,0,0,0,0,0,0,0,12
GURQIU.Re.xyz,Re,56.11,1.684834,1944.8,6,1,0,0,1,0,0,0,1,0,1,1,35,7
GURXUO.W.xyz,W,58.51,1.72376,1872.6,9,4,0,0,0,0,0,1,1,0,0,0,0,6
GURYAV.W.xyz,W,59.06,1.729025,1828.5,8,3,0,0,0,0,0,1,1,0,0,0,0,6
GUSLIP.Ir.xyz,Ir,69.16,1.595597,2079.9,8,1,0,1,0,0,0,0,1,0,0,0,0,9
GUSZEB.Ru.xyz,Ru,58.11,1.607166,1926.4,8,1,0,1,0,0,0,1,0,0,0,1,0,8
GUTFAD.Re.xyz,Re,67.3,1.757723,1727,6,1,0,1,0,0,0,0,1,0,0,0,6,7
GUTLAI.Pt.xyz,Pt,64.83,1.611111,1977.4,4,1,0,0,0,0,0,0,1,0,0,0,15,10
GUTLEM.Pt.xyz,Pt,70.77,1.606433,2022.3,4,1,0,0,0,0,0,0,1,0,0,0,15,10
GUTLOY.Fe.xyz,Fe,56.34,1.540095,1850.1,6,1,0,0,1,0,0,1,1,0,0,0,0,8
GUTNEQ.Fe.xyz,Fe,48.87,1.519703,1783,6,1,0,1,1,1,0,0,1,0,0,0,8,8
GUTPUG.Ru.xyz,Ru,63.56,1.560646,2080.2,5,1,0,0,1,0,0,0,1,0,0,0,0,8
GUTQAN.Ru.xyz,Ru,58.95,1.549009,2216.8,7,3,0,0,1,0,0,0,1,0,1,0,0,8
GUVXUT.Ru.xyz,Ru,51.8,1.583461,2038.8,9,1,0,1,0,0,0,0,1,0,0,0,0,8
GUWXUU.Re.xyz,Re,60.62,1.677373,1936.8,5,1,0,0,1,1,0,0,0,0,0,0,0,7
GUXCOT.Pt.xyz,Pt,62.7,1.599592,2078,6,1,0,1,0,0,0,1,0,0,0,0,6,10
GUXMIX.Ni.xyz,Ni,68.01,1.561522,1919.1,4,1,1,0,0,0,0,0,1,0,0,0,5,10
GUXROJ.Rh.xyz,Rh,51.72,1.534533,2112.8,5,1,0,0,0,0,0,0,1,0,1,0,0,9
GUYFUB.Ir.xyz,Ir,71.24,1.578129,2193.3,8,2,0,1,0,0,0,0,1,1,0,1,0,9
GUYRUQ.Ir.xyz,Ir,74.93,1.566243,2265.8,6,2,0,1,1,0,0,0,1,0,0,1,7,9
GUYSEB.Ir.xyz,Ir,75,1.580053,2190.8,6,2,0,1,1,0,0,0,1,0,0,0,7,9
GUYSIF.Ir.xyz,Ir,75.67,1.589962,2131,6,2,0,1,1,0,0,0,1,0,0,0,7,9
GUYSOL.Ir.xyz,Ir,70.8,1.556171,2320.8,6,1,0,1,1,0,0,0,1,0,1,1,7,9
GUYSUR.Ir.xyz,Ir,70.81,1.556675,2045.3,6,1,0,1,1,1,0,0,1,0,0,0,7,9
GUZQEX.Ru.xyz,Ru,65.24,1.577022,2017.7,8,1,0,1,1,0,0,0,1,0,0,0,0,8
HABQUW.Rh.xyz,Rh,63.77,1.584608,1944.9,6,1,0,1,0,0,0,1,1,0,0,0,15,9
HACDAR.Os.xyz,Os,69.95,1.608221,2123.1,9,1,0,1,0,0,0,0,1,0,0,0,0,8
HACDIZ.Os.xyz,Os,70.94,1.608089,2153.3,8,1,0,1,0,0,0,0,1,0,0,1,0,8
HACDOF.Os.xyz,Os,62.61,1.619727,2086.4,9,1,0,1,0,0,0,0,1,0,0,0,0,8
HADSUA.Ir.xyz,Ir,72.41,1.593366,2118.9,6,1,0,1,0,0,0,0,1,1,0,1,16,9
HADTAH.Ir.xyz,Ir,71.78,1.57557,2216.1,6,1,0,1,0,0,0,0,1,1,0,1,16,9
HADZUH.Ir.xyz,Ir,64.28,1.593604,2121.5,6,1,0,0,0,0,0,0,1,0,1,0,15,9
HAFBAR.Ir.xyz,Ir,70.24,1.572295,2202.1,6,1,0,0,0,0,0,0,1,0,1,0,17,9
HAFHUS.Fe.xyz,Fe,55.52,1.537835,1759.4,6,1,0,0,1,0,0,0,1,0,0,0,7,8
HAFJOR.Fe.xyz,Fe,45.6,1.523653,1853.7,6,1,0,1,0,0,0,1,0,0,0,0,6,8
HAFJUX.Fe.xyz,Fe,49.39,1.512713,1913.6,6,1,0,1,0,0,0,1,0,0,0,0,0,8
HAFKAE.Fe.xyz,Fe,48.06,1.514002,1904.7,6,1,0,1,0,0,0,1,0,0,0,0,0,8
HAFKEI.Fe.xyz,Fe,48.73,1.507419,1932.8,6,1,0,1,0,0,0,1,0,0,0,0,6,8
HAFKIM.Fe.xyz,Fe,49.87,1.525615,1848.2,6,1,0,1,0,0,0,1,0,0,0,0,6,8
HAFKUY.Fe.xyz,Fe,51.5,1.523376,1866.1,6,1,0,1,0,0,0,1,0,0,0,0,6,8
HAFMUA.Ir.xyz,Ir,70.3,1.568756,2278.4,6,2,0,0,0,0,0,1,1,0,1,0,17,9
HAGRAM.Os.xyz,Os,65.68,1.607843,2112.8,8,1,0,1,1,0,0,0,0,0,1,0,0,8
HAGROA.Os.xyz,Os,66.14,1.620823,2072,8,1,0,1,1,1,0,0,0,0,0,0,0,8
HAGTAO.Ru.xyz,Ru,57.77,1.569673,2066,8,1,0,1,1,1,0,0,0,0,0,0,0,8
HAGTIW.Os.xyz,Os,66.64,1.621284,2109,8,1,0,1,1,1,0,0,0,0,0,0,0,8
HAGXOE.Ir.xyz,Ir,72.58,1.571425,2214.3,6,1,0,1,1,0,0,0,0,0,1,0,7,9
HAGZIY.Mo.xyz,Mo,55.95,1.682876,1882.5,10,1,0,1,0,0,0,0,1,0,0,1,0,6
HAHXUL.Os.xyz,Os,63.72,1.595617,2196,7,3,0,0,0,1,0,0,1,0,1,0,0,8
HAHYAS.Os.xyz,Os,70.09,1.610867,2141.8,7,4,0,0,0,1,0,0,1,0,0,0,0,8
HAJBIE.Ru.xyz,Ru,64.3,1.571372,2104.8,8,1,1,1,0,0,0,0,1,0,0,0,0,8
HAKCUR.Re.xyz,Re,70.36,1.770479,1650.3,6,1,0,1,0,0,0,0,1,0,0,0,6,7
HAKDAY.Re.xyz,Re,60.06,1.686313,1934.4,7,2,0,1,0,0,0,0,1,0,0,1,0,7
HAKDEC.Re.xyz,Re,68.92,1.705481,1852.1,7,3,0,1,0,0,0,0,1,0,0,0,0,7
HAKLEK.Ir.xyz,Ir,70.77,1.56513,2240.8,6,2,0,0,0,0,0,0,1,1,0,1,16,9
HAKLIO.Ir.xyz,Ir,69.34,1.587038,2147.3,5,1,0,0,0,0,0,0,1,1,0,0,16,9
HAMYIH.Pt.xyz,Pt,68.77,1.549107,2271.2,4,1,0,1,1,0,0,0,0,0,1,0,7,10
HAMYUT.Pt.xyz,Pt,71.84,1.554224,2237.6,4,1,0,1,1,0,0,0,0,0,1,0,7,10
HANWAU.Ir.xyz,Ir,74.13,1.581365,2143.6,6,1,0,1,0,0,0,0,1,0,1,0,17,9
HANWAU01.Ir.xyz,Ir,74.13,1.581367,2143.6,6,1,0,1,0,0,0,0,1,0,1,0,17,9
HANWEY.Ir.xyz,Ir,70.49,1.547833,2016.8,7,2,0,1,0,0,0,0,1,0,0,1,0,9
HAPCAC.W.xyz,W,50.92,1.731639,1820.9,7,1,0,1,0,0,0,0,1,0,1,0,0,6
HAPCIK.Ir.xyz,Ir,76.82,1.574806,2200.4,6,1,0,1,0,1,0,0,1,0,0,0,8,9
HAPYUW.Ni.xyz,Ni,49.95,1.476208,1910.6,4,1,0,0,1,0,0,0,1,0,0,0,7,10
HAPZIL.Ni.xyz,Ni,47.29,1.446221,1979,4,1,0,0,0,1,0,0,1,0,0,0,8,10
HAPZPT10.Pt.xyz,Pt,73.92,1.557462,2223.5,4,1,0,0,1,0,0,0,1,0,0,1,7,10
HAQKEP.Ru.xyz,Ru,67.83,1.597986,1961.6,6,1,0,0,0,0,0,0,1,0,1,0,17,8
HAQTAU.Co.xyz,Co,42.98,1.475735,1914.3,6,1,0,1,0,0,0,0,1,0,1,0,15,9
HAQWEB.Ru.xyz,Ru,67.19,1.585707,2082,9,2,0,1,0,0,0,1,1,0,0,0,0,8
HASJAP.Co.xyz,Co,44.4,1.499691,1795.6,7,1,0,1,1,0,0,0,1,0,0,0,0,9
HATFUD.Cd.xyz,Cd,65.82,1.689414,1681.7,4,1,0,0,1,0,0,0,0,0,0,0,0,12
HATGAN.Fe.xyz,Fe,51.23,1.512854,1856.1,7,2,1,1,1,0,0,0,1,0,0,0,1,8
HATGUG.Mo.xyz,Mo,46.72,1.690121,1842.7,12,1,0,1,0,0,0,0,0,0,0,0,0,6
HATPRU10.Ru.xyz,Ru,63.69,1.588814,1972.8,7,1,0,1,0,1,0,0,1,0,0,0,0,8
HAWBIT.Ta.xyz,Ta,60.15,1.80892,1615.5,8,1,0,1,1,0,0,0,1,0,0,0,0,5
HAWWOR.Ir.xyz,Ir,65.82,1.590149,2127,9,1,0,1,0,0,0,0,1,0,0,1,0,9
