ID,Metal,Group,M-H,VMH1,VMH,BDE,Hydri-G,CoordNum,EN-M,EN-H,EN-B,EN-C,EN-N,EN-O,EN-F,EN-Si,EN-P,EN-S,EN-Cl,EA-M,EA-H,EA-B,EA-C,EA-N,EA-O,EA-F,EA-Si,EA-P,EA-S,EA-Cl,H,B,C,N,O,F,Si,P,S,Cl,Charge,LTrans,GrpNum,AN-M,AR-M,AW-M,AV-M,MR-M,DP-M,mc-chi2,mc-chi3
ACOBOK.Zr.xyz,Zr,IVB ,1.819337,1749.6,1679.6,56.79,180,12,1.3,2.17,0,2.45,0,3.61,0,0,0,0,0,9.82,17.39,0,29.12,0,33.69,0,0,0,0,0,1,0,10,0,1,0,0,0,0,0,0,0,4,40,155,91.2,14.1,145,112,28.26,27
ACOBUQ.Zr.xyz,Zr,IVB ,1.851811,1646.6,1580.7,60.87,201.31,13,1.3,2.17,0,2.45,0,0,0,0,0,0,0,9.82,17.39,0,29.12,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,4,40,155,91.2,14.1,145,112,40.9,42.43
ACOYOI.Pt.xyz,Pt,VIII ,1.612587,2036,1954.6,70.12,194.2,4,2.3,2.17,0,0,0,0,0,0,2.46,0,0,49.07,17.39,0,0,0,0,0,0,17.2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,10,78,135,195.1,9.1,130,48,45.9,116.51
ACUXAA.Ru.xyz,Ru,VIII ,1.57732,2163.1,2076.6,59.61,255.82,6,2.3,2.17,0,2.45,2.93,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0.01,0,0,0,17.2,0,0,1,0,1,2,0,0,0,2,0,0,1,0,8,44,130,101.1,8.3,125,72,63.67,101.29
ACUXEE.Ru.xyz,Ru,VIII ,1.605579,2027.2,1946.1,65.9,266.15,6,2.3,2.17,0,2.45,2.93,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0.01,0,0,0,17.2,0,0,1,0,1,2,0,0,0,2,0,0,1,0,8,44,130,101.1,8.3,125,72,63.67,99.44
ACUXII.Ru.xyz,Ru,VIII ,1.583141,2098,2014.1,64.52,267.58,7,2.3,2.17,0,2.45,2.93,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0.01,0,0,0,17.2,0,0,1,0,2,2,0,0,0,2,0,0,1,0,8,44,130,101.1,8.3,125,72,58.06,100.21
ADAHAO.Ru.xyz,Ru,VIII ,1.580454,2152.9,2066.8,66.79,283.86,8,2.3,2.17,0,2.45,0,0,0,0,0,0,0,24.21,17.39,0,29.12,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,8,44,130,101.1,8.3,125,72,38.79,38.5
ADELAZ.Fe.xyz,Fe,VIII ,1.520017,1851,1777,51.12,186.65,6,1.8,2.17,0,2.45,2.93,0,0,0,2.46,0,3.05,3.76,17.39,0,29.12,0.01,0,0,0,17.2,0,83.41,1,0,1,1,0,0,0,2,0,1,0,17,8,26,140,55.8,7.1,117,62,46.92,90.31
ADEMEE.Fe.xyz,Fe,VIII ,1.528101,1829.5,1756.3,52.36,184.91,6,1.8,2.17,0,2.45,2.93,3.61,0,0,2.46,0,0,3.76,17.39,0,29.12,0.01,33.69,0,0,17.2,0,0,1,0,1,1,1,0,0,2,0,0,0,8,8,26,140,55.8,7.1,117,62,51.59,100.63
ADEMII.Fe.xyz,Fe,VIII ,1.501614,1911.8,1835.3,47.77,188.15,5,1.8,2.17,0,2.45,2.93,0,0,0,2.46,0,0,3.76,17.39,0,29.12,0.01,0,0,0,17.2,0,0,1,0,1,1,0,0,0,2,0,0,0,0,8,26,140,55.8,7.1,117,62,42.9,90.31
ADISEO.Ir.xyz,Ir,VIII ,1.582427,2225.4,2136.4,73.14,218.67,7,2.2,2.17,0,2.45,2.93,0,0,0,0,0,3.05,36.09,17.39,0,29.12,0.01,0,0,0,0,0,83.41,1,0,3,2,0,0,0,0,0,1,0,17,9,77,135,192.2,8.54,127,54,59.71,68.31
ADIYET.Ru.xyz,Ru,VIII ,1.640423,1952,1873.9,64.85,198.59,6,2.3,2.17,0,0,0,0,0,0,2.46,0,0,24.21,17.39,0,0,0,0,0,0,17.2,0,0,2,0,0,0,0,0,0,4,0,0,0,15,8,44,130,101.1,8.3,125,72,90.82,67.32
ADIYIX.Ru.xyz,Ru,VIII ,1.639834,1943,1865.3,66.86,193.16,6,2.3,2.17,0,0,0,0,0,0,2.46,0,0,24.21,17.39,0,0,0,0,0,0,17.2,0,0,2,0,0,0,0,0,0,4,0,0,0,15,8,44,130,101.1,8.3,125,72,90.82,67.32
ADIYUK.Fe.xyz,Fe,VIII ,1.498761,2027.9,1946.8,44.82,107.73,6,1.8,2.17,1.88,2.45,0,0,0,0,2.46,0,0,3.76,17.39,6.39,29.12,0,0,0,0,17.2,0,0,1,1,1,0,0,0,0,3,0,0,-1,0,8,26,140,55.8,7.1,117,62,62.29,108.15
ADUFUB.Mo.xyz,Mo,VIB ,1.674338,1936.2,1858.8,53.3,275.85,9,2.2,2.17,0,2.45,0,0,0,0,2.46,0,0,17.2,17.39,0,29.12,0,0,0,0,17.2,0,0,2,0,5,0,0,0,0,2,0,0,1,0,6,42,145,96,9.4,130,87,60.59,125.6
ADUHEN.Hf.xyz,Hf,IVB ,1.844254,1689.7,1622.1,67.75,204.63,12,1.3,2.17,0,2.45,0,0,4.14,0,0,0,0,0,17.39,0,29.12,0,0,78.38,0,0,0,0,1,0,10,0,0,1,0,0,0,0,0,0,4,72,155,178.5,13.6,144,103,29.84,59.47
ADUHOX.Hf.xyz,Hf,IVB ,1.843841,1694,1626.2,63.52,190.44,12,1.3,2.17,0,2.45,0,3.61,0,0,0,0,0,0,17.39,0,29.12,0,33.69,0,0,0,0,0,1,0,10,0,1,0,0,0,0,0,0,0,4,72,155,178.5,13.6,144,103,26.52,54.21
ADULIW.Ni.xyz,Ni,VIII ,1.516658,1984.4,1905,53.18,194.35,4,1.9,2.17,0,2.45,0,0,0,0,0,0,0,26.66,17.39,0,29.12,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,6,10,28,135,58.7,6.6,115,49,32.97,63.91
ADULOC.Ir.xyz,Ir,VIII ,1.60069,2356.4,2262.1,66.3,272.07,5,2.2,2.17,0,2.45,0,0,0,0,2.46,0,0,36.09,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,2,0,0,0,0,2,0,0,1,0,9,77,135,192.2,8.54,127,54,46.84,99.84
ADUNEU.Ni.xyz,Ni,VIII ,1.523736,1930.8,1853.6,59.63,194.21,4,1.9,2.17,0,2.45,0,0,0,0,2.46,0,0,26.66,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,1,0,0,0,0,2,0,0,0,6,10,28,135,58.7,6.6,115,49,38.96,82.32
ADUYOP.Ru.xyz,Ru,VIII ,1.586297,2080.1,1996.9,65.5,201.25,9,2.3,2.17,0,2.45,0,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,6,0,0,0,0,2,0,0,0,0,8,44,130,101.1,8.3,125,72,64.24,78.85
AFADUI.Ru.xyz,Ru,VIII ,1.531468,2326.6,2233.5,59.83,273.76,5,2.3,2.17,0,2.45,0,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,2,0,0,0,0,2,0,0,1,0,8,44,130,101.1,8.3,125,72,60.41,112.2
AFAFAQ.Ru.xyz,Ru,VIII ,1.561598,2124.4,2039.4,69.33,199.49,5,2.3,2.17,0,2.45,0,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0,0,0,0,17.2,0,0,2,0,1,0,0,0,0,2,0,0,0,1,8,44,130,101.1,8.3,125,72,47.04,89.76
AFALIF.Ru.xyz,Ru,VIII ,1.547836,2220.2,2131.4,60.29,286.71,5,2.3,2.17,0,0,0,0,0,0,2.46,0,0,24.21,17.39,0,0,0,0,0,0,17.2,0,0,1,0,0,0,0,0,0,4,0,0,1,0,8,44,130,101.1,8.3,125,72,67.32,128.48
AFASAD.Ru.xyz,Ru,VIII ,1.684793,1871,1796.2,63.45,155.7,6,2.3,2.17,0,2.45,0,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0,0,0,0,17.2,0,0,2,0,2,0,0,0,0,2,0,0,0,1,8,44,130,101.1,8.3,125,72,60.41,112.2
AFASEH.Ru.xyz,Ru,VIII ,1.695788,1846,1772.2,62.92,156.63,6,2.3,2.17,0,2.45,0,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0,0,0,0,17.2,0,0,2,0,2,0,0,0,0,2,0,0,0,1,8,44,130,101.1,8.3,125,72,60.41,112.2
AFASIL.Ru.xyz,Ru,VIII ,1.640451,1912.3,1835.8,64.73,175.17,6,2.3,2.17,0,2.45,0,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0,0,0,0,17.2,0,0,2,0,3,0,0,0,0,1,0,0,0,6,8,44,130,101.1,8.3,125,72,51.15,78.54
AFASOR.Ru.xyz,Ru,VIII ,1.575722,2124.5,2039.5,66.51,186.92,7,2.3,2.17,0,2.45,0,3.61,0,0,2.46,0,0,24.21,17.39,0,29.12,0,33.69,0,0,17.2,0,0,1,0,3,0,2,0,0,1,0,0,0,0,8,44,130,101.1,8.3,125,72,49.19,83.38
AFASUX.Ru.xyz,Ru,VIII ,1.542458,2237.3,2147.8,58.59,279.47,5,2.3,2.17,0,2.45,0,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0,0,0,0,17.2,0,0,1,0,2,0,0,0,0,2,0,0,1,0,8,44,130,101.1,8.3,125,72,60.41,112.2
AFEBIZ.Ru.xyz,Ru,VIII ,1.583628,2105,2020.8,62.2,201.38,6,2.3,2.17,0,2.45,2.93,0,0,0,2.46,0,3.05,24.21,17.39,0,29.12,0.01,0,0,0,17.2,0,83.41,1,0,1,1,0,0,0,2,0,1,0,17,8,44,130,101.1,8.3,125,72,52.45,88.22
AGAROS.Ag.xyz,Ag,IB ,1.646061,1777.5,1706.4,68.08,195,2,1.4,2.17,0,2.45,0,0,0,0,0,0,0,30.02,17.39,0,29.12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,11,47,160,107.9,10.3,134,55,10.79,24.61
AGAROS.Cu.xyz,Cu,IB ,1.527859,1796.3,1724.4,74.98,198.3,2,1.4,2.17,0,2.45,0,0,0,0,0,0,0,28.32,17.39,0,29.12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,11,29,135,63.5,7.1,118,46.5,14.54,33.92
AGEHEZ.Pt.xyz,Pt,VIII ,1.591514,2105.6,2021.4,71.27,195.67,3,2.3,2.17,0,0,0,0,0,0,2.46,0,0,49.07,17.39,0,0,0,0,0,0,17.2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,10,78,135,195.1,9.1,130,48,23.26,69.77
AGIDIE.Ir.xyz,Ir,VIII ,1.594555,2204.2,2116,76.75,219.84,6,2.2,2.17,0,0,2.93,0,0,0,2.46,0,0,36.09,17.39,0,0,0.01,0,0,0,17.2,0,0,2,0,0,2,0,0,0,2,0,0,0,7,9,77,135,192.2,8.54,127,54,56.1,102.17
AGIDOK.Ir.xyz,Ir,VIII ,1.623231,2095.4,2011.6,75.56,207.23,6,2.2,2.17,0,2.45,2.93,0,0,0,2.46,0,0,36.09,17.39,0,29.12,0.01,0,0,0,17.2,0,0,1,0,1,2,0,0,0,2,0,0,0,7,9,77,135,192.2,8.54,127,54,67.32,118.23
AGIJUV.Ta.xyz,Ta,VB ,1.765069,1858.3,1784,59.08,115.03,9,1.4,2.17,0,2.45,2.93,0,0,2.12,0,0,3.05,7.43,17.39,0,29.12,0.01,0,0,31.94,0,0,83.41,1,0,5,1,0,0,1,0,0,1,-1,0,5,73,145,180.9,10.9,134,74,31.5,79.43
AGIKAC.Ta.xyz,Ta,VB ,1.773875,1851,1777,64.09,206.13,8,1.4,2.17,0,2.45,2.93,0,0,2.12,0,0,0,7.43,17.39,0,29.12,0.01,0,0,31.94,0,0,0,1,0,5,1,0,0,1,0,0,0,0,0,5,73,145,180.9,10.9,134,74,31.5,85.5
AGIKEG.Ta.xyz,Ta,VB ,1.775617,1844.7,1770.9,69.21,203.31,9,1.4,2.17,0,2.45,2.93,0,0,0,0,0,0,7.43,17.39,0,29.12,0.01,0,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,5,73,145,180.9,10.9,134,74,37.2,58.8
AGIKIK.Ta.xyz,Ta,VB ,1.788645,1818.6,1745.9,69.98,228.07,9,1.4,2.17,0,2.45,2.93,0,0,0,0,0,0,7.43,17.39,0,29.12,0.01,0,0,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,5,73,145,180.9,10.9,134,74,33.38,62.55
AGOFAE.Pt.xyz,Pt,VIII ,1.589831,2187.7,2100.2,67.72,194.2,4,2.3,2.17,0,0,0,0,0,2.14,2.46,0,0,49.07,17.39,0,0,0,0,0,31.13,17.2,0,0,1,0,0,0,0,0,1,2,0,0,0,15,10,78,135,195.1,9.1,130,48,50.3,97.24
AGOZEC.Ru.xyz,Ru,VIII ,1.593711,2066.9,1984.2,56.82,186.93,6,2.3,2.17,0,2.45,2.93,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0.01,0,0,0,17.2,0,0,1,0,1,2,0,0,0,2,0,0,0,15,8,44,130,101.1,8.3,125,72,65.82,103.93
AGOZEC01.Ru.xyz,Ru,VIII ,1.593641,2067.2,1984.5,56.82,187.31,6,2.3,2.17,0,2.45,2.93,0,0,0,2.46,0,0,24.21,17.39,0,29.12,0.01,0,0,0,17.2,0,0,1,0,1,2,0,0,0,2,0,0,0,15,8,44,130,101.1,8.3,125,72,65.82,103.93
AGULOG.Ir.xyz,Ir,VIII ,1.619687,2081.2,1998,70.43,167.87,5,2.2,2.17,0,2.45,0,0,0,0,0,0,0,36.09,17.39,0,29.12,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,9,77,135,192.2,8.54,127,54,58.87,88.22
AHARUX.Rh.xyz,Rh,VIII ,1.504855,2318.3,2225.6,54.76,306.12,5,2.3,2.17,0,2.45,0,3.61,0,0,2.46,0,0,26.22,17.39,0,29.12,0,33.69,0,0,17.2,0,0,1,0,1,0,1,0,0,2,0,0,1,0,9,45,135,102.9,8.3,125,66,52.33,113.09
AHASAE.Rh.xyz,Rh,VIII ,1.503858,2320.2,2227.4,58.85,308.97,5,2.3,2.17,0,2.45,0,3.61,0,0,2.46,0,0,26.22,17.39,0,29.12,0,33.69,0,0,17.2,0,0,1,0,1,0,1,0,0,2,0,0,1,0,9,45,135,102.9,8.3,125,66,56.38,93.02
